order_id,user_id,product,amount,status,order_date
1001,1,笔记本电脑,5999.00,已完成,2023-01-15 10:30:00
1002,2,机械键盘,399.00,已完成,2023-01-16 14:20:00
1003,1,显示器,1899.00,已发货,2023-01-18 09:15:00
1004,3,鼠标,89.00,已完成,2023-01-19 16:45:00
1005,5,耳机,599.00,待支付,2023-01-20 11:00:00
1006,2,平板电脑,2999.00,已完成,2023-01-22 08:30:00
1007,4,手机,4599.00,已完成,2023-01-25 13:20:00
1008,7,路由器,349.00,已取消,2023-01-26 17:10:00
1009,1,硬盘,459.00,已完成,2023-02-01 10:00:00
1010,6,显卡,3299.00,已发货,2023-02-03 15:30:00
1011,8,内存条,299.00,已完成,2023-02-05 12:00:00
1012,2,机箱,699.00,待支付,2023-02-08 09:45:00
1013,9,显示器,2499.00,已完成,2023-02-10 14:15:00
1014,10,键盘,159.00,已完成,2023-02-12 11:20:00
1015,11,鼠标垫,29.00,已完成,2023-02-14 16:30:00
